id,name,date,venue,location,attendance
58,UFC 52: Couture vs. Liddell,2005-04-16,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",14562.0
59,UFC 53: Heavy Hitters,2005-06-04,Boardwalk Hall,"Atlantic City, New Jersey, U.S.",12000.0
60,UFC Ultimate Fight Night,2005-08-06,Cox Pavilion,"Las Vegas, Nevada, U.S.",
61,UFC 54: Boiling Point,2005-08-20,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",13520.0
62,UFC Ultimate Fight Night 2,2005-10-03,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",
63,UFC 55: Fury,2005-10-07,Mohegan Sun Arena,"Montville, Connecticut, U.S.",8000.0
64,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",
65,UFC 56: Full Force,2005-11-19,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",12000.0
66,UFC Ultimate Fight Night 3,2006-01-16,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",1008.0
67,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10659.0
68,UFC 58: USA vs. Canada,2006-03-04,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",9569.0
69,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",843.0
70,UFC 59: Reality Check,2006-04-15,Honda Center,"Anaheim, California, U.S.",13814.0
71,UFC 60: Hughes vs. Gracie,2006-05-27,Crypto.com Arena,"Los Angeles, California, U.S.",14765.0
72,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,2006-06-24,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",849.0
73,UFC Ultimate Fight Night 5,2006-06-28,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",606.0
74,UFC 61: Bitter Rivals,2006-07-08,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",11167.0
75,UFC Fight Night 6,2006-08-17,Red Rock Resort Spa and Casino,"Summerlin, Nevada, U.S.",1412.0
76,UFC 62: Liddell vs. Sobral,2006-08-26,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10503.0
77,UFC 63: Hughes vs. Penn,2006-09-23,Honda Center,"Anaheim, California, U.S.",12604.0
78,UFC Fight Night 6.5,2006-10-10,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.",3510.0
79,UFC 64: Unstoppable,2006-10-14,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10173.0
80,The Ultimate Fighter: The Comeback Finale,2006-11-11,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",1000.0
81,UFC 65: Bad Intentions,2006-11-18,ARCO Arena,"Sacramento, California, U.S.",14666.0
82,UFC Fight Night: Sanchez vs. Riggs,2006-12-13,Marine Corps Air Station Miramar,"San Diego, California, U.S.",3000.0
83,UFC 66: Liddell vs. Ortiz,2006-12-30,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",13671.0
84,UFC Fight Night: Evans vs. Salmon,2007-01-25,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.",5287.0
85,UFC 67: All or Nothing,2007-02-03,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10787.0
86,UFC 68: The Uprising,2007-03-03,Nationwide Arena,"Columbus, Ohio, U.S.",19079.0
87,UFC Fight Night: Stevenson vs. Guillard,2007-04-05,Palms Casino Resort,"Las Vegas, Nevada, U.S.",1734.0
88,UFC 69: Shootout,2007-04-07,Toyota Center,"Houston, Texas, U.S.",15269.0
89,UFC 70: Nations Collide,2007-04-21,AO Arena,"Manchester, England, UK",15114.0
90,UFC 71: Liddell vs. Jackson,2007-05-26,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",14728.0
91,UFC Fight Night: Stout vs. Fisher,2007-06-12,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.",
92,UFC 72: Victory,2007-06-16,The SSE Arena,"Belfast, Northern Ireland, UK",7850.0
93,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,"Las Vegas, Nevada, U.S.",
94,UFC 73: Stacked,2007-07-07,ARCO Arena,"Sacramento, California, U.S.",13183.0
95,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",11065.0
96,UFC 75: Champion vs. Champion,2007-09-08,The O2 Arena,"London, England, UK",16235.0
97,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,"Las Vegas, Nevada, U.S.",
98,UFC 76: Knockout,2007-09-22,Honda Center,"Anaheim, California, U.S.",13770.0
99,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,"Cincinnati, Ohio, U.S.",16054.0
100,UFC 78: Validation,2007-11-17,Prudential Center,"Newark, New Jersey, U.S.",14071.0
101,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,"Las Vegas, Nevada, U.S.",
102,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",11075.0
103,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,"Newcastle upon Tyne, England, UK",8412.0
104,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,"Las Vegas, Nevada, U.S.",1900.0
105,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10583.0
106,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,"Columbus, Ohio, U.S.",16431.0
107,UFC Fight Night: Florian vs. Lauzon,2008-04-02,1stBank Center,"Broomfield, Colorado, U.S.",6742.0
108,UFC 83: Serra vs. St-Pierre 2,2008-04-19,Bell Centre,"Montreal, Quebec, Canada",21390.0
109,UFC 84: Ill Will,2008-05-24,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",14773.0
