id,name,date,venue,location,attendance
241,UFC on Fox: Johnson vs. Moraga,2013-07-27,Climate Pledge Arena,"Seattle, Washington, U.S.",8967.0
242,UFC 163: Aldo vs. Korean Zombie,2013-08-03,Farmasi Arena,"Rio de Janeiro, Brazil",13873.0
243,UFC Fight Night: Shogun vs. Sonnen,2013-08-17,TD Garden,"Boston, Massachusetts, U.S.",14181.0
244,UFC Fight Night: Condit vs. Kampmann 2,2013-08-28,Bankers Life Fieldhouse,"Indianapolis, Indiana, U.S.",6417.0
245,UFC 164: Henderson vs. Pettis 2,2013-08-31,BMO Harris Bradley Center,"Milwaukee, Wisconsin, U.S.",9178.0
246,UFC Fight Night: Teixeira vs. Bader,2013-09-04,Mineirinho Arena,"Belo Horizonte, Brazil",5126.0
247,UFC 165: Jones vs. Gustafsson,2013-09-21,Scotiabank Arena,"Toronto, Ontario, Canada",15504.0
248,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,"Barueri, Brazil",6621.0
249,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,"Houston, Texas, U.S.",17238.0
250,UFC Fight Night: Machida vs. Muñoz,2013-10-26,AO Arena,"Manchester, England, UK",10355.0
251,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,"Fort Campbell, Kentucky, U.S.",
252,UFC Fight Night: Belfort vs. Henderson 2,2013-11-09,Goiânia Arena,"Goiânia, Brazil",10565.0
253,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",14856.0
254,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",4853.0
255,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,"Brisbane, Australia",11393.0
256,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,ARCO Arena,"Sacramento, California, U.S.",11573.0
257,UFC 168: Weidman vs. Silva 2,2013-12-28,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",15650.0
258,UFC Fight Night: Saffiedine vs. Lim,2014-01-04,Marina Bay Sands,"Marina Bay, Singapore",5216.0
259,UFC Fight Night: Rockhold vs. Philippou,2014-01-15,Arena at Gwinnett Center,"Duluth, Georgia, U.S.",5822.0
260,UFC on Fox: Henderson vs. Thomson,2014-01-25,United Center,"Chicago, Illinois, U.S.",10895.0
261,UFC 169: Barão vs. Faber 2,2014-02-01,Prudential Center,"Newark, New Jersey, U.S.",14308.0
262,UFC Fight Night: Machida vs. Mousasi,2014-02-15,Arena Jaraguá,"Jaraguá do Sul, Brazil",7511.0
263,UFC 170: Rousey vs. McMann,2014-02-22,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10217.0
264,The Ultimate Fighter China Finale: Kim vs. Hathaway,2014-03-01,Cotai Arena,"Macau, China",6000.0
265,UFC Fight Night: Gustafsson vs. Manuwa,2014-03-08,The O2 Arena,"London, England, UK",14604.0
266,UFC 171: Hendricks vs. Lawler,2014-03-15,American Airlines Center,"Dallas, Texas, U.S.",19324.0
267,UFC Fight Night: Shogun vs. Henderson 2,2014-03-23,Ginásio Nélio Dias,"Natal, Brazil",6828.0
268,UFC Fight Night: Nogueira vs. Nelson,2014-04-11,du Arena,"Abu Dhabi, United Arab Emirates",7963.0
269,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,2014-04-16,Colisée Pepsi,"Quebec City, Quebec, Canada",5029.0
270,UFC on Fox: Werdum vs. Browne,2014-04-19,Kia Center,"Orlando, Florida, U.S.",17000.0
271,UFC 172: Jones vs. Teixeira,2014-04-26,Baltimore Arena,"Baltimore, Maryland, U.S.",13485.0
272,UFC Fight Night: Brown vs. Silva,2014-05-10,U.S. Bank Arena,"Cincinnati, Ohio, U.S.",6143.0
273,UFC 173: Barão vs. Dillashaw,2014-05-24,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",11036.0
274,UFC Fight Night: Muñoz vs. Mousasi,2014-05-31,Uber Arena,"Berlin, Germany",8000.0
275,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,2014-05-31,Ginásio do Ibirapuera,"São Paulo, Brazil",8986.0
276,UFC Fight Night: Henderson vs. Khabilov,2014-06-07,Tingley Coliseum,"Albuquerque, New Mexico, U.S.",8775.0
277,UFC 174: Johnson vs. Bagautinov,2014-06-14,Rogers Arena,"Vancouver, British Columbia, Canada",13506.0
278,UFC Fight Night: Te Huna vs. Marquardt,2014-06-28,Spark Arena,"Auckland, New Zealand",8089.0
279,UFC Fight Night: Swanson vs. Stephens,2014-06-28,Frost Bank Center,"San Antonio, Texas, U.S.",9227.0
280,UFC 175: Weidman vs. Machida,2014-07-05,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10088.0
281,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,2014-07-06,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",6500.0
282,UFC Fight Night: Cowboy vs. Miller,2014-07-16,Revel Casino Hotel,"Atlantic City, New Jersey, U.S.",4115.0
283,UFC Fight Night: McGregor vs. Brandão,2014-07-19,3Arena,"Dublin, Ireland",9500.0
284,UFC on Fox: Lawler vs. Brown,2014-07-26,SAP Center,"San Jose, California, U.S.",11482.0
285,UFC Fight Night: Bader vs. Saint Preux,2014-08-16,Cross Insurance Center,"Bangor, Maine, U.S.",5329.0
286,UFC Fight Night: Bisping vs. Le,2014-08-23,Cotai Arena,"Macau, China",7022.0
287,UFC Fight Night: Henderson vs. dos Anjos,2014-08-23,BOK Center,"Tulsa, Oklahoma, U.S.",7119.0
288,UFC 177: Dillashaw vs. Soto,2014-08-30,ARCO Arena,"Sacramento, California, U.S.",11100.0
289,UFC Fight Night: Jacaré vs. Mousasi,2014-09-05,Foxwoods Resort Casino,"Ledyard, Connecticut, U.S.",4086.0
290,UFC Fight Night: Bigfoot vs. Arlovski,2014-09-13,Ginásio Nilson Nelson,"Brasília, Brazil",8822.0
291,UFC Fight Night: Hunt vs. Nelson,2014-09-20,Saitama Super Arena,"Saitama, Japan",12395.0
292,UFC 178: Johnson vs. Cariaso,2014-09-27,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",10544.0
293,UFC Fight Night: Nelson vs. Story,2014-10-04,Avicii Arena,"Stockholm, Sweden",10026.0
294,UFC Fight Night: MacDonald vs. Saffiedine,2014-10-04,Scotiabank Centre,"Halifax, Nova Scotia, Canada",10782.0
295,UFC 179: Aldo vs. Mendes 2,2014-10-25,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil",11415.0
296,UFC Fight Night: Rockhold vs. Bisping,2014-11-08,Qudos Bank Arena,"Sydney, Australia",9904.0
297,UFC Fight Night: Shogun vs. Saint Preux,2014-11-08,Ginásio Municipal Tancredo Neves,"Uberlândia, Brazil",5671.0
298,UFC 180: Werdum vs. Hunt,2014-11-15,Arena Ciudad de México,"Mexico City, Mexico",21000.0
299,UFC Fight Night: Edgar vs. Swanson,2014-11-22,Frank Erwin Center,"Austin, Texas, U.S.",10131.0
300,UFC 181: Hendricks vs. Lawler II,2014-12-06,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",9617.0
301,The Ultimate Fighter: A Champion Will Be Crowned Finale,2014-12-12,Palms Casino Resort,"Las Vegas, Nevada, U.S.",1800.0
302,UFC on Fox: dos Santos vs. Miocic,2014-12-13,Footprint Center,"Phoenix, Arizona, U.S.",15300.0
303,UFC Fight Night: Machida vs. Dollaway,2014-12-20,Ginásio José Corrêa,"Barueri, Brazil",
304,UFC 182: Jones vs. Cormier,2015-01-03,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",11575.0
305,UFC Fight Night: McGregor vs. Siver,2015-01-18,TD Garden,"Boston, Massachusetts, U.S.",13828.0
306,UFC on Fox: Gustafsson vs. Johnson,2015-01-24,Tele2 Arena,"Stockholm, Sweden",30000.0
307,UFC 183: Silva vs. Diaz,2015-01-31,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",13114.0
308,UFC Fight Night: Henderson vs. Thatch,2015-02-14,1stBank Center,"Broomfield, Colorado, U.S.",5807.0
309,UFC Fight Night: Bigfoot vs. Mir,2015-02-22,Ginásio Gigantinho,"Porto Alegre, Brazil",5080.0
310,UFC 184: Rousey vs. Zingano,2015-02-28,Crypto.com Arena,"Los Angeles, California, U.S.",17654.0
311,UFC 185: Pettis vs. dos Anjos,2015-03-14,American Airlines Center,"Dallas, Texas, U.S.",17160.0
312,UFC Fight Night: Maia vs. LaFlare,2015-03-21,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil",7707.0
313,UFC Fight Night: Mendes vs. Lamas,2015-04-04,EagleBank Arena,"Fairfax, Virginia, U.S.",5417.0
314,UFC Fight Night: Gonzaga vs. Cro Cop 2,2015-04-11,Tauron Arena Kraków,"Kraków, Poland",10000.0
315,UFC on Fox: Machida vs. Rockhold,2015-04-18,Prudential Center,"Newark, New Jersey, U.S.",13306.0
316,UFC 186: Johnson vs. Horiguchi,2015-04-25,Bell Centre,"Montreal, Quebec, Canada",10154.0
317,UFC Fight Night: Miocic vs. Hunt,2015-05-10,Adelaide Entertainment Centre,"Adelaide, Australia",7984.0
318,UFC Fight Night: Edgar vs. Faber,2015-05-16,Mall of Asia Arena,"Pasay, Philippines",13446.0
319,UFC 187: Johnson vs. Cormier,2015-05-23,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",12615.0
320,UFC Fight Night: Condit vs. Alves,2015-05-30,Goiânia Arena,"Goiânia, Brazil",3500.0
321,UFC Fight Night: Boetsch vs. Henderson,2015-06-06,Smoothie King Center,"New Orleans, Louisiana, U.S.",6231.0
322,UFC 188: Velasquez vs. Werdum,2015-06-13,Arena Ciudad de México,"Mexico City, Mexico",21036.0
323,UFC Fight Night: Jędrzejczyk vs. Penne,2015-06-20,Uber Arena,"Berlin, Germany",8155.0
324,UFC Fight Night: Machida vs. Romero,2015-06-27,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.",5604.0
325,UFC 189: Mendes vs. McGregor,2015-07-11,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",16019.0
326,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,2015-07-12,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",4844.0
327,UFC Fight Night: Mir vs. Duffee,2015-07-15,Pechanga Arena,"San Diego, California, U.S.",5471.0
328,UFC Fight Night: Bisping vs. Leites,2015-07-18,The SSE Hydro,"Glasgow, Scotland, UK",10451.0
329,UFC on Fox: Dillashaw vs. Barão 2,2015-07-25,United Center,"Chicago, Illinois, U.S.",11663.0
330,UFC 190: Rousey vs. Correia,2015-08-01,Farmasi Arena,"Rio de Janeiro, Brazil",14723.0
331,UFC Fight Night: Teixeira vs. Saint Preux,2015-08-08,Bridgestone Arena,"Nashville, Tennessee, U.S.",7539.0
332,UFC Fight Night: Holloway vs. Oliveira,2015-08-23,SaskTel Centre,"Saskatoon, Saskatchewan, Canada",7202.0
333,UFC 191: Johnson vs. Dodson 2,2015-09-05,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",10873.0
334,UFC Fight Night: Barnett vs. Nelson,2015-09-27,Saitama Super Arena,"Saitama, Japan",10137.0
335,UFC 192: Cormier vs. Gustafsson,2015-10-03,Toyota Center,"Houston, Texas, U.S.",14622.0
336,UFC Fight Night: Holohan vs. Smolka,2015-10-24,3Arena,"Dublin, Ireland",9500.0
337,UFC Fight Night: Belfort vs. Henderson 3,2015-11-07,Ginásio do Ibirapuera,"São Paulo, Brazil",10628.0
338,UFC 193: Rousey vs. Holm,2015-11-15,Marvel Stadium,"Melbourne, Australia",56214.0
339,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,2015-11-21,Arena Monterrey,"Monterrey, Mexico",10410.0
340,UFC Fight Night: Henderson vs. Masvidal,2015-11-28,Olympic Gymnastics Arena,"Seoul, South Korea",12156.0
341,UFC Fight Night: Namajunas vs. VanZant,2015-12-10,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada, U.S.",1643.0
342,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,2015-12-11,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada, U.S.",2566.0
343,UFC 194: Aldo vs. McGregor,2015-12-12,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",16516.0
344,UFC on Fox: dos Anjos vs. Cowboy 2,2015-12-19,Kia Center,"Orlando, Florida, U.S.",14459.0
345,UFC 195: Lawler vs. Condit,2016-01-02,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",10300.0
346,UFC Fight Night: Dillashaw vs. Cruz,2016-01-17,TD Garden,"Boston, Massachusetts, U.S.",12022.0
347,UFC on Fox: Johnson vs. Bader,2016-01-30,Prudential Center,"Newark, New Jersey, U.S.",10555.0
348,UFC Fight Night: Hendricks vs. Thompson,2016-02-06,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",7422.0
349,UFC Fight Night: Cowboy vs. Cowboy,2016-02-21,PPG Paints Arena,"Pittsburgh, Pennsylvania, U.S.",7330.0
350,UFC Fight Night: Silva vs. Bisping,2016-02-27,The O2 Arena,"London, England, UK",16734.0
351,UFC 196: McGregor vs. Diaz,2016-03-05,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",14898.0
352,UFC Fight Night: Hunt vs. Mir,2016-03-20,Brisbane Entertainment Centre,"Brisbane, Australia",9552.0
353,UFC Fight Night: Rothwell vs. dos Santos,2016-04-10,Arena Zagreb,"Zagreb, Croatia",13177.0
354,UFC on Fox: Teixeira vs. Evans,2016-04-16,Amalie Arena,"Tampa, Florida, U.S.",11273.0
355,UFC 197: Jones vs. Saint Preux,2016-04-23,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",11352.0
356,UFC Fight Night: Overeem vs. Arlovski,2016-05-08,Rotterdam Ahoy,"Rotterdam, Netherlands",10421.0
357,UFC 198: Werdum vs. Miocic,2016-05-14,Arena da Baixada,"Curitiba, Brazil",45207.0
358,UFC Fight Night: Almeida vs. Garbrandt,2016-05-29,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",5193.0
359,UFC 199: Rockhold vs. Bisping 2,2016-06-04,The Forum,"Inglewood, California, U.S.",15587.0
360,UFC Fight Night: MacDonald vs. Thompson,2016-06-18,TD Place Arena,"Ottawa, Ontario, Canada",10490.0
361,UFC Fight Night: dos Anjos vs. Alvarez,2016-07-07,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",7760.0
362,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,2016-07-08,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",8115.0
363,UFC 200: Tate vs. Nunes,2016-07-09,T-Mobile Arena,"Las Vegas, Nevada, U.S.",18202.0
364,UFC Fight Night: McDonald vs. Lineker,2016-07-13,Denny Sanford Premier Center,"Sioux Falls, South Dakota, U.S.",5671.0
365,UFC on Fox: Holm vs. Shevchenko,2016-07-23,United Center,"Chicago, Illinois, U.S.",10287.0
366,UFC 201: Lawler vs. Woodley,2016-07-30,State Farm Arena,"Atlanta, Georgia, U.S.",10240.0
367,UFC Fight Night: Rodríguez vs. Caceres,2016-08-06,Delta Center,"Salt Lake City, Utah, U.S.",6689.0
368,UFC 202: Diaz vs. McGregor 2,2016-08-20,T-Mobile Arena,"Las Vegas, Nevada, U.S.",15539.0
369,UFC on Fox: Maia vs. Condit,2016-08-27,Rogers Arena,"Vancouver, British Columbia, Canada",10533.0
370,UFC Fight Night: Arlovski vs. Barnett,2016-09-03,Barclaycard Arena,"Hamburg, Germany",11763.0
371,UFC 203: Miocic vs. Overeem,2016-09-10,Quicken Loans Arena,"Cleveland, Ohio, U.S.",18875.0
372,UFC Fight Night: Poirier vs. Johnson,2016-09-17,State Farm Arena,"Hidalgo, Texas, U.S.",5624.0
373,UFC Fight Night: Cyborg vs. Länsberg,2016-09-24,Ginásio Nilson Nelson,"Brasília, Brazil",8410.0
374,UFC Fight Night: Lineker vs. Dodson,2016-10-01,Moda Center,"Portland, Oregon, U.S.",6240.0
375,UFC 204: Bisping vs. Henderson 2,2016-10-08,AO Arena,"Manchester, England, UK",16000.0
376,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,2016-11-05,Arena Ciudad de México,"Mexico City, Mexico",11460.0
377,UFC 205: Alvarez vs. McGregor,2016-11-12,Madison Square Garden,"New York, New York, U.S.",20427.0
378,UFC Fight Night: Mousasi vs. Hall 2,2016-11-19,The SSE Arena,"Belfast, Northern Ireland, UK",7222.0
379,UFC Fight Night: Bader vs. Nogueira 2,2016-11-19,Ginásio do Ibirapuera,"São Paulo, Brazil",9028.0
380,UFC Fight Night: Whittaker vs. Brunson,2016-11-27,Rod Laver Arena,"Melbourne, Australia",13721.0
381,The Ultimate Fighter: Tournament of Champions Finale,2016-12-03,Palms Casino Resort,"Las Vegas, Nevada, U.S.",2044.0
382,UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09,Times Union Center,"Albany, New York, U.S.",6216.0
383,UFC 206: Holloway vs. Pettis,2016-12-10,Scotiabank Arena,"Toronto, Ontario, Canada",18057.0
384,UFC on Fox: VanZant vs. Waterson,2016-12-17,Golden 1 Center,"Sacramento, California, U.S.",13136.0
385,UFC 207: Nunes vs. Rousey,2016-12-30,T-Mobile Arena,"Las Vegas, Nevada, U.S.",18533.0
386,UFC Fight Night: Rodríguez vs. Penn,2017-01-15,Footprint Center,"Phoenix, Arizona, U.S.",11589.0
387,UFC on Fox: Shevchenko vs. Peña,2017-01-28,Ball Arena,"Denver, Colorado, U.S.",13233.0
388,UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-04,Toyota Center,"Houston, Texas, U.S.",8119.0
389,UFC 208: Holm vs. de Randamie,2017-02-11,Barclays Center,"New York, New York, U.S.",15628.0
390,UFC Fight Night: Lewis vs. Browne,2017-02-19,Scotiabank Centre,"Halifax, Nova Scotia, Canada",8123.0
391,UFC 209: Woodley vs. Thompson 2,2017-03-04,T-Mobile Arena,"Las Vegas, Nevada, U.S.",13150.0
392,UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil",14069.0
393,UFC Fight Night: Manuwa vs. Anderson,2017-03-18,The O2 Arena,"London, England, UK",15761.0
394,UFC 210: Cormier vs. Johnson 2,2017-04-08,KeyBank Center,"Buffalo, New York, U.S.",17110.0
395,UFC on Fox: Johnson vs. Reis,2017-04-15,T-Mobile Center,"Kansas City, Missouri, U.S.",12171.0
396,UFC Fight Night: Swanson vs. Lobov,2017-04-22,Bridgestone Arena,"Nashville, Tennessee, U.S.",10144.0
397,UFC 211: Miocic vs. dos Santos 2,2017-05-13,American Airlines Center,"Dallas, Texas, U.S.",17834.0
398,UFC Fight Night: Gustafsson vs. Teixeira,2017-05-28,Avicii Arena,"Stockholm, Sweden",12668.0
399,UFC 212: Aldo vs. Holloway,2017-06-03,Farmasi Arena,"Rio de Janeiro, Brazil",15412.0
400,UFC Fight Night: Lewis vs. Hunt,2017-06-11,Spark Arena,"Auckland, New Zealand",8649.0
401,UFC Fight Night: Holm vs. Correia,2017-06-17,Singapore Indoor Stadium,"Kallang, Singapore",8414.0
402,UFC Fight Night: Chiesa vs. Lee,2017-06-25,Chesapeake Energy Arena,"Oklahoma City, Oklahoma, U.S.",7605.0
403,The Ultimate Fighter: Redemption Finale,2017-07-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.",6308.0
404,UFC 213: Romero vs. Whittaker,2017-07-08,T-Mobile Arena,"Las Vegas, Nevada, U.S.",12834.0
405,UFC Fight Night: Nelson vs. Ponzinibbio,2017-07-16,The SSE Hydro,"Glasgow, Scotland, UK",10589.0
406,UFC on Fox: Weidman vs. Gastelum,2017-07-22,Nassau Veterans Memorial Coliseum,"Hempstead, New York, U.S.",11198.0
407,UFC 214: Cormier vs. Jones 2,2017-07-29,Honda Center,"Anaheim, California, U.S.",16610.0
408,UFC Fight Night: Pettis vs. Moreno,2017-08-05,Arena Ciudad de México,"Mexico City, Mexico",10172.0
409,UFC Fight Night: Volkov vs. Struve,2017-09-02,Rotterdam Ahoy,"Rotterdam, Netherlands",10224.0
410,UFC 215: Nunes vs. Shevchenko 2,2017-09-09,Rogers Place,"Edmonton, Alberta, Canada",16232.0
411,UFC Fight Night: Rockhold vs. Branch,2017-09-16,PPG Paints Arena,"Pittsburgh, Pennsylvania, U.S.",7005.0
412,UFC Fight Night: Saint Preux vs. Okami,2017-09-23,Saitama Super Arena,"Saitama, Japan",8571.0
413,UFC 216: Ferguson vs. Lee,2017-10-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.",10638.0
414,UFC Fight Night: Cowboy vs. Till,2017-10-21,Ergo Arena,"Gdańsk, Poland",11138.0
415,UFC Fight Night: Brunson vs. Machida,2017-10-28,Ginásio do Ibirapuera,"São Paulo, Brazil",10265.0
416,UFC 217: Bisping vs. St-Pierre,2017-11-04,Madison Square Garden,"New York, New York, U.S.",18201.0
417,UFC Fight Night: Poirier vs. Pettis,2017-11-11,Chartway Arena,"Norfolk, Virginia, U.S.",8442.0
418,UFC Fight Night: Werdum vs. Tybura,2017-11-19,Qudos Bank Arena,"Sydney, Australia",10021.0
419,UFC Fight Night: Bisping vs. Gastelum,2017-11-25,Mercedes-Benz Arena,"Shanghai, China",15128.0
420,The Ultimate Fighter: A New World Champion Finale,2017-12-01,Park Theater,"Las Vegas, Nevada, U.S.",
421,UFC 218: Holloway vs. Aldo 2,2017-12-02,Little Caesars Arena,"Detroit, Michigan, U.S.",17587.0
422,UFC Fight Night: Swanson vs. Ortega,2017-12-09,Save Mart Center,"Fresno, California, U.S.",7605.0
423,UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Canada Life Centre,"Winnipeg, Manitoba, Canada",8862.0
424,UFC 219: Cyborg vs. Holm,2017-12-30,T-Mobile Arena,"Las Vegas, Nevada, U.S.",13561.0
425,UFC Fight Night: Stephens vs. Choi,2018-01-14,Enterprise Center,"St. Louis, Missouri, U.S.",10052.0
426,UFC 220: Miocic vs. Ngannou,2018-01-20,TD Garden,"Boston, Massachusetts, U.S.",16015.0
427,UFC on Fox: Jacaré vs. Brunson 2,2018-01-27,Spectrum Center,"Charlotte, North Carolina, U.S.",10249.0
428,UFC Fight Night: Machida vs. Anders,2018-02-03,Arena Guilherme Paraense,"Belém, Brazil",10144.0
429,UFC 221: Romero vs. Rockhold,2018-02-11,Perth Arena,"Perth, Australia",12437.0
430,UFC Fight Night: Cowboy vs. Medeiros,2018-02-18,Frank Erwin Center,"Austin, Texas, U.S.",10502.0
431,UFC on Fox: Emmett vs. Stephens,2018-02-24,Kia Center,"Orlando, Florida, U.S.",10124.0
432,UFC 222: Cyborg vs. Kunitskaya,2018-03-03,T-Mobile Arena,"Las Vegas, Nevada, U.S.",12041.0
433,UFC Fight Night: Werdum vs. Volkov,2018-03-17,The O2 Arena,"London, England, UK",16274.0
434,UFC 223: Khabib vs. Iaquinta,2018-04-07,Barclays Center,"New York, New York, U.S.",17026.0
435,UFC on Fox: Poirier vs. Gaethje,2018-04-14,Gila River Arena,"Glendale, Arizona, U.S.",11382.0
436,UFC Fight Night: Barboza vs. Lee,2018-04-21,Boardwalk Hall,"Atlantic City, New Jersey, U.S.",9541.0
437,UFC 224: Nunes vs. Pennington,2018-05-12,Farmasi Arena,"Rio de Janeiro, Brazil",10696.0
438,UFC Fight Night: Maia vs. Usman,2018-05-19,Movistar Arena,"Santiago, Chile",11082.0
439,UFC Fight Night: Thompson vs. Till,2018-05-27,Echo Arena,"Liverpool, England, UK",8520.0
440,UFC Fight Night: Rivera vs. Moraes,2018-06-01,Adirondack Bank Center,"Utica, New York, U.S.",5063.0
441,UFC 225: Whittaker vs. Romero 2,2018-06-09,United Center,"Chicago, Illinois, U.S.",18117.0
442,UFC Fight Night: Cowboy vs. Edwards,2018-06-23,Singapore Indoor Stadium,"Kallang, Singapore",6419.0
443,The Ultimate Fighter: Undefeated Finale,2018-07-06,Palms Casino Resort,"Las Vegas, Nevada, U.S.",2123.0
444,UFC 226: Miocic vs. Cormier,2018-07-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.",17464.0
445,UFC Fight Night: dos Santos vs. Ivanov,2018-07-14,CenturyLink Arena,"Boise, Idaho, U.S.",5648.0
446,UFC Fight Night: Shogun vs. Smith,2018-07-22,Barclaycard Arena,"Hamburg, Germany",7798.0
447,UFC on Fox: Alvarez vs. Poirier 2,2018-07-28,Scotiabank Saddledome,"Calgary, Alberta, Canada",10603.0
448,UFC 227: Dillashaw vs. Garbrandt 2,2018-08-04,Crypto.com Arena,"Los Angeles, California, U.S.",17794.0
449,UFC Fight Night: Gaethje vs. Vick,2018-08-25,Pinnacle Bank Arena,"Lincoln, Nebraska, U.S.",6409.0
450,UFC 228: Woodley vs. Till,2018-09-08,American Airlines Center,"Dallas, Texas, U.S.",14073.0
451,UFC Fight Night: Hunt vs. Oleinik,2018-09-15,Olimpiyskiy Stadium,"Moscow, Russia",22603.0
452,UFC Fight Night: Santos vs. Anders,2018-09-22,Ginásio do Ibirapuera,"São Paulo, Brazil",9485.0
453,UFC 229: Khabib vs. McGregor,2018-10-06,T-Mobile Arena,"Las Vegas, Nevada, U.S.",20034.0
454,UFC Fight Night: Volkan vs. Smith,2018-10-27,Avenir Centre,"Moncton, New Brunswick, Canada",6282.0
455,UFC 230: Cormier vs. Lewis,2018-11-03,Madison Square Garden,"New York, New York, U.S.",17011.0
456,UFC Fight Night: The Korean Zombie vs. Rodríguez,2018-11-10,Ball Arena,"Denver, Colorado, U.S.",11426.0
457,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,Estadio Mary Terán de Weiss,"Buenos Aires, Argentina",10245.0
458,UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24,Cadillac Arena,"Beijing, China",10302.0
459,The Ultimate Fighter: Heavy Hitters Finale,2018-11-30,Palms Casino Resort,"Las Vegas, Nevada, U.S.",2020.0
460,UFC Fight Night: dos Santos vs. Tuivasa,2018-12-02,Adelaide Entertainment Centre,"Adelaide, Australia",8652.0
461,UFC 231: Holloway vs. Ortega,2018-12-08,Scotiabank Arena,"Toronto, Ontario, Canada",19039.0
462,UFC on Fox: Lee vs. Iaquinta 2,2018-12-15,Fiserv Forum,"Milwaukee, Wisconsin, U.S.",9010.0
463,UFC 232: Jones vs. Gustafsson 2,2018-12-29,The Forum,"Inglewood, California, U.S.",15862.0
464,UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19,Barclays Center,"New York, New York, U.S.",12152.0
465,UFC Fight Night: Assunção vs. Moraes 2,2019-02-02,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil",10040.0
466,UFC 234: Adesanya vs. Silva,2019-02-10,Rod Laver Arena,"Melbourne, Australia",15238.0
467,UFC on ESPN: Ngannou vs. Velasquez,2019-02-17,Footprint Center,"Phoenix, Arizona, U.S.",14269.0
468,UFC Fight Night: Błachowicz vs. Santos,2019-02-23,O2 Arena,"Prague, Czech Republic",16583.0
469,UFC 235: Jones vs. Smith,2019-03-02,T-Mobile Arena,"Las Vegas, Nevada, U.S.",14790.0
470,UFC Fight Night: Lewis vs. dos Santos,2019-03-09,Intrust Bank Arena,"Wichita, Kansas, U.S.",7265.0
471,UFC Fight Night: Till vs. Masvidal,2019-03-16,The O2 Arena,"London, England, UK",16602.0
472,UFC Fight Night: Thompson vs. Pettis,2019-03-23,Bridgestone Arena,"Nashville, Tennessee, U.S.",10863.0
473,UFC on ESPN: Barboza vs. Gaethje,2019-03-30,Wells Fargo Center,"Philadelphia, Pennsylvania, U.S.",11123.0
